,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
490,Good technology to adopt the car and good look. Car safety will be the same as the Volvo cars.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/hector-on-the-roads-68961.htm
491,I love to have this car with a great specification and very friendly and up to the mark of modern technology.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/superiour-car-like-a-king-68939.htm
492,New track towards new technology in cars... MG Motors had done great work on MG Hector. Thank you MG Motors.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-motors-mg-hector-68935.htm
493,Good car but is look is not better than Tata Harrier looks. It is better than MG HECTOR.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/look-is-not-better-than-tata-harrier-68932.htm
494,"Excellent car, very affordable price range. I like its voice assistance.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/like-pricing-over-creta-and-harrier-68925.htm
495,Best car on Indian roads.. and the looks are amazing.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/i-would-suggest-you-to-go-for-this-68924.htm
496,This car is awesome and this car has more function on HD display.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/that-car-is-very-high-in-the-market-selling-68944.htm
497,Awesome car with the best pricing which may rule Indian roads! Voice commands are just so fab.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-at-best-budget-68967.htm
498,"Very Nice car with lots of Facilities, voice command, sunroof, and much more. Good quality and Very Good Price.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/superb-car-68915.htm
499,"Superb car specifications.Its real internet Car, Superb looking car and great pickup thanks to Fiat engine Interior So Unique and next level looking car Hightech system unique futuristic like a concept car seats are very cushiony and soft leather using great sound system interior console is better than harrier overall great Come back all the best MG Group.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/great-model-of-2019-68892.htm
500,"Beautiful, classy, sporty and powerful best in class would strongly recommend buying this beautiful and premium beast.","Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/hector-will-beat-all-others-in-tug-68896.htm
